,cipmet40_S2
Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Leuconostocaceae|Weissella|Weissella hellenica,21
Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Leuconostocaceae|Weissella|Weissella paramesenteroides,8
Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Leuconostocaceae|Weissella|Weissella cibaria,8
Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Leuconostocaceae|Weissella|Weissella confusa,6
Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Leuconostocaceae|Weissella|Weissella ceti,2
Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Leuconostocaceae|Weissella|Weissella viridescens,1
Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Leuconostocaceae|Weissella|Weissella koreensis,1
Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Leuconostocaceae|Oenococcus|Oenococcus oeni,21
Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Leuconostocaceae|Oenococcus|Oenococcus sicerae,5
Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Leuconostocaceae|Oenococcus|Oenococcus kitaharae,1
Bacteria|NA|Firmicutes|Bacilli|Bacillales,1139
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Staphylococcaceae,311
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus,3235
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus|Staphylococcus aureus,89433
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus|Staphylococcus simulans,3521
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus|Staphylococcus haemolyticus,178
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus|Staphylococcus epidermidis,115
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus|Staphylococcus pseudintermedius,115
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus|Staphylococcus sciuri,102
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus|Staphylococcus hominis,91
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus|Staphylococcus caprae,89
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus|Staphylococcus simiae,46
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus|Staphylococcus succinus,29
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus|Staphylococcus warneri,27
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus|Staphylococcus condimenti,24
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus|Staphylococcus pettenkoferi,18
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus|Staphylococcus muscae,17
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus|Staphylococcus chromogenes,13
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus|Staphylococcus saprophyticus,11
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus|Staphylococcus schleiferi,10
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus|Staphylococcus felis,9
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus|Staphylococcus lugdunensis,9
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus|Staphylococcus piscifermentans,9
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus|Staphylococcus nepalensis,9
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus|Staphylococcus equorum,8
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus|Staphylococcus capitis,7
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus|Staphylococcus schweitzeri,5
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus|Staphylococcus cohnii,4
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus|Staphylococcus arlettae,4
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus|Staphylococcus pasteuri,4
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus|Staphylococcus agnetis,4
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus|Staphylococcus stepanovicii,3
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus|Staphylococcus carnosus,3
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus|Staphylococcus sp. M0911,3
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus|Staphylococcus lutrae,2
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus|Staphylococcus fleurettii,1
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus|Staphylococcus delphini,1
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus|Staphylococcus xylosus,1
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Macrococcus,137
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Macrococcus|Macrococcus caseolyticus,74
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Macrococcus|Macrococcus canis,20
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Macrococcus|Macrococcus sp. IME1552,13
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Salinicoccus|Salinicoccus halodurans,30
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Auricoccus|Auricoccus indicus,6
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Jeotgalicoccus|Jeotgalicoccus saudimassiliensis,5
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae,377
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus,956
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus pseudomycoides,66
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus cereus,53
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus thuringiensis,35
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus anthracis,31
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus albus,10
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus sp. ABP14,1
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus subtilis,192
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus licheniformis,24
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus atrophaeus,19
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus amyloliquefaciens,8
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus velezensis,4
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus halotolerans,7
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus sp. X1(2014),78
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus sp. OxB-1,22
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus sp. S3,21
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus sp. FJAT-25496,18
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus sp. THAF10,17
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus sp. FJAT-22090,16
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus sp. Y1,10
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus sp. 1NLA3E,10
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus sp. DSL-17,8
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus sp. Lzh-5,5
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus sp. NSP9.1,4
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus sp. FJAT-42376,2
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus sp. BS98,1
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus kochii,141
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus coagulans,112
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|[Brevibacterium] frigoritolerans,103
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus circulans,90
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus thermoamylovorans,37
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus oceanisediminis,30
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus asahii,28
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus clausii,28
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus simplex,24
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus vietnamensis,20
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus cellulosilyticus,12
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus cohnii,12
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus pumilus,11
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus marisflavi,11
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus miscanthi,10
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus mesonae,9
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus methanolicus,9
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus lentus,8
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus altitudinis,7
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus filamentosus,6
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus flexus,5
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus freudenreichii,5
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus megaterium,5
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus ciccensis,5
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus safensis,5
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus gobiensis,4
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus infantis,4
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus pseudofirmus,4
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus jeotgali,3
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus horikoshii,2
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus weihaiensis,2
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus foraminis,2
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus halodurans,1
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus litoralis,1
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Virgibacillus,67
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Virgibacillus|Virgibacillus halodenitrificans,155
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Virgibacillus|Virgibacillus sp. Bac330,21
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Virgibacillus|Virgibacillus sp. 6R,6
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Virgibacillus|Virgibacillus sp. SK37,2
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Virgibacillus|Virgibacillus sp. MSP4-1,2
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Virgibacillus|Virgibacillus necropolis,15
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Gracilibacillus|Gracilibacillus sp. SCU50,98
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Amphibacillus|Amphibacillus xylanus,79
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Pradoshia|Pradoshia sp. D12,69
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Lysinibacillus,28
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Lysinibacillus|Lysinibacillus sp. SGAir0095,19
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Lysinibacillus|Lysinibacillus sp. 2017,5
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Lysinibacillus|Lysinibacillus sp. YS11,4
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Lysinibacillus|Lysinibacillus timonensis,9
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Lysinibacillus|Lysinibacillus sphaericus,2
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Lysinibacillus|Lysinibacillus varians,1
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Oceanobacillus|Oceanobacillus iheyensis,43
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Oceanobacillus|Oceanobacillus sp. 160,13
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Geobacillus,13
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Geobacillus|Geobacillus sp. E263,23
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Geobacillus|Geobacillus thermodenitrificans,1
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Anoxybacillus,8
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Anoxybacillus|Anoxybacillus amylolyticus,20
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Anoxybacillus|Anoxybacillus kamchatkensis,2
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Anoxybacillus|Anoxybacillus flavithermus,1
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Parageobacillus|Parageobacillus thermoglucosidasius,21
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Parageobacillus|Parageobacillus genomosp. 1,1
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Halobacillus|Halobacillus mangrovi,13
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Halobacillus|Halobacillus halophilus,3
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Halobacillus|Halobacillus litoralis,3
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Lentibacillus|Lentibacillus amyloliquefaciens,13
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Psychrobacillus|Psychrobacillus sp. AK 1817,8
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Psychrobacillus|Psychrobacillus glaciei,2
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Paraliobacillus|Paraliobacillus sp. X-1125,9
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Aeribacillus|Aeribacillus pallidus,7
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Fictibacillus|Fictibacillus phosphorivorans,3
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Fictibacillus|Fictibacillus arsenicus,1
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|NA|Bacillaceae bacterium TKL69,3
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Salimicrobium|Salimicrobium jeotgali,1
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Pontibacillus|Pontibacillus sp. HMF3514,1
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Bacillaceae|Salicibibacter|Salicibibacter halophilus,1
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Paenibacillaceae,20
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Paenibacillaceae|Paenibacillus,296
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Paenibacillaceae|Paenibacillus|Paenibacillus naphthalenovorans,608
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Paenibacillaceae|Paenibacillus|Paenibacillus xylanilyticus,124
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Paenibacillaceae|Paenibacillus|Paenibacillus sp. FSL P4-0081,20
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Paenibacillaceae|Paenibacillus|Paenibacillus sp. JDR-2,18
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Paenibacillaceae|Paenibacillus|Paenibacillus sp. IHB B 3084,16
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Paenibacillaceae|Paenibacillus|Paenibacillus sp. IHBB 10380,13
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Paenibacillaceae|Paenibacillus|Paenibacillus sp. 12200R-189,13
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Paenibacillaceae|Paenibacillus|Paenibacillus sp. FSL R7-0273,10
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Paenibacillaceae|Paenibacillus|Paenibacillus sp. 32O-W,5
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Paenibacillaceae|Paenibacillus|Paenibacillus sp. B01,5
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Paenibacillaceae|Paenibacillus|Paenibacillus sp. FSL R7-0331,4
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Paenibacillaceae|Paenibacillus|Paenibacillus sp. FSL R5-0345,2
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Paenibacillaceae|Paenibacillus|Paenibacillus sp. FW100M-2,2
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Paenibacillaceae|Paenibacillus|Paenibacillus sp. FSL H7-0737,1
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Paenibacillaceae|Paenibacillus|Paenibacillus sp. CAA11,1
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Paenibacillaceae|Paenibacillus|Paenibacillus larvae,76
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Paenibacillaceae|Paenibacillus|Paenibacillus guangzhouensis,42
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Paenibacillaceae|Paenibacillus|Paenibacillus glucanolyticus,37
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Paenibacillaceae|Paenibacillus|Paenibacillus odorifer,18
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Paenibacillaceae|Paenibacillus|Paenibacillus polymyxa,15
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Paenibacillaceae|Paenibacillus|Paenibacillus psychroresistens,10
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Paenibacillaceae|Paenibacillus|Paenibacillus antarcticus,8
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Paenibacillaceae|Paenibacillus|Paenibacillus baekrokdamisoli,7
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Paenibacillaceae|Paenibacillus|Paenibacillus cellulositrophicus,6
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Paenibacillaceae|Paenibacillus|Paenibacillus mucilaginosus,6
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Paenibacillaceae|Paenibacillus|Paenibacillus donghaensis,6
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Paenibacillaceae|Paenibacillus|Paenibacillus kribbensis,5
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Paenibacillaceae|Paenibacillus|Paenibacillus physcomitrellae,5
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Paenibacillaceae|Paenibacillus|Paenibacillus borealis,4
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Paenibacillaceae|Paenibacillus|Paenibacillus yonginensis,3
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Paenibacillaceae|Paenibacillus|Paenibacillus durus,2
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Paenibacillaceae|Paenibacillus|Paenibacillus lentus,2
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Paenibacillaceae|Paenibacillus|Paenibacillus riograndensis,2
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Paenibacillaceae|Paenibacillus|Paenibacillus stellifer,1
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Paenibacillaceae|Paenibacillus|Paenibacillus beijingensis,1
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Paenibacillaceae|Paenibacillus|Paenibacillus albus,1
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Paenibacillaceae|Paenibacillus|Paenibacillus lutimineralis,1
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Paenibacillaceae|Brevibacillus,48
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Paenibacillaceae|Brevibacillus|Brevibacillus laterosporus,140
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Paenibacillaceae|Brevibacillus|Brevibacillus brevis,75
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Paenibacillaceae|Brevibacillus|Brevibacillus agri,5
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Paenibacillaceae|Cohnella|Cohnella abietis,255
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Paenibacillaceae|Cohnella|Cohnella candidum,2
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Paenibacillaceae|Aneurinibacillus|Aneurinibacillus soli,2
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Paenibacillaceae|Aneurinibacillus|Aneurinibacillus sp. XH2,2
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Listeriaceae,3
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Listeriaceae|Listeria,170
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Listeriaceae|Listeria|Listeria monocytogenes,1170
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Listeriaceae|Listeria|Listeria innocua,49
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Listeriaceae|Listeria|Listeria ivanovii,38
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Listeriaceae|Listeria|Listeria seeligeri,30
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Listeriaceae|Listeria|Listeria sp. PSOL-1,18
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Listeriaceae|Listeria|Listeria welshimeri,8
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Listeriaceae|Listeria|Listeria weihenstephanensis,5
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Listeriaceae|Listeria|Listeria grayi,2
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Listeriaceae|Brochothrix|Brochothrix thermosphacta,59
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Planococcaceae,125
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Planococcaceae|Ureibacillus|Ureibacillus thermosphaericus,148
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Planococcaceae|Kurthia|Kurthia sp. 11kri321,131
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Planococcaceae|Kurthia|Kurthia zopfii,2
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Planococcaceae|Sporosarcina,5
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Planococcaceae|Sporosarcina|Sporosarcina ureilytica,77
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Planococcaceae|Sporosarcina|Sporosarcina sp. PTS2304,8
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Planococcaceae|Sporosarcina|Sporosarcina sp. P37,1
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Planococcaceae|Sporosarcina|Sporosarcina pasteurii,3
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Planococcaceae|Sporosarcina|Sporosarcina psychrophila,1
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Planococcaceae|Planococcus,10
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Planococcaceae|Planococcus|Planococcus sp. PAMC 21323,7
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Planococcaceae|Planococcus|Planococcus sp. Y42,5
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Planococcaceae|Planococcus|Planococcus donghaensis,10
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Planococcaceae|Planococcus|Planococcus maritimus,8
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Planococcaceae|Planococcus|Planococcus halocryophilus,6
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Planococcaceae|Planococcus|Planococcus rifietoensis,4
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Planococcaceae|Planococcus|Planococcus antarcticus,1
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Planococcaceae|Planococcus|Planococcus faecalis,1
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Planococcaceae|Paenisporosarcina|Paenisporosarcina antarctica,14
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Planococcaceae|Paenisporosarcina|Paenisporosarcina sp. K2R23-3,14
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Planococcaceae|Solibacillus|Solibacillus silvestris,16
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Planococcaceae|Solibacillus|Solibacillus sp. R5-41,3
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Planococcaceae|Rummeliibacillus|Rummeliibacillus stabekisii,18
Bacteria|NA|Firmicutes|Bacilli|Bacillales|Planococcaceae|Jeotgalibacillus|Jeotgalibacillus malaysiensis,9
Bacteria|NA|Firmicutes|Bacilli|Bacillales|NA|Gemella,20
