,cipdic0_S2,cipdic0_S3,cipdic0_S1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Kosakonia|Kosakonia arachidis,692,736,412
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Kosakonia|Kosakonia sp. CCTCC M2018092,438,509,173
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Kosakonia|Kosakonia radicincitans,284,280,172
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|NA|Enterobacteriaceae bacterium strain FGI 57,2100,2413,1825
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|NA|Enterobacteriaceae bacterium ENNIH1,252,319,303
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|NA|Enterobacteriaceae bacterium ENNIH2,43,54,144
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|NA|Plautia stali symbiont,126,90,74
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|NA|Enterobacteriaceae bacterium S05,495,150,58
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|NA|Enterobacteriaceae bacterium ENNIH3,17,19,23
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Candidatus Hamiltonella|Candidatus Hamiltonella defensa,26,65,48
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Candidatus Hamiltonella|secondary endosymbiont of Ctenarytaina eucalypti,19,13,33
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Candidatus Hamiltonella|secondary endosymbiont of Heteropsylla cubana,4,2,5
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Candidatus Blochmannia,6,3,11
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Candidatus Blochmannia|Blochmannia endosymbiont of Camponotus (Colobopsis) obliquus,37,22,18
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Candidatus Blochmannia|Blochmannia endosymbiont of Camponotus nipponensis,1,1,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Candidatus Blochmannia|Blochmannia endosymbiont of Polyrhachis (Hedomyrma) turneri,17,31,1
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Candidatus Blochmannia|Candidatus Blochmannia floridanus,4,6,7
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Candidatus Blochmannia|Candidatus Blochmannia pennsylvanicus,2,2,2
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Candidatus Doolittlea|Candidatus Doolittlea endobia,13,22,26
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Candidatus Annandia|Candidatus Annandia adelgestsuga,6,12,16
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|NA|secondary endosymbiont of Trabutina mannipara,5,13,14
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Candidatus Hoaglandella|Candidatus Hoaglandella endobia,6,5,13
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Candidatus Purcelliella|Candidatus Purcelliella pentastirinorum,5,6,14
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Candidatus Mikella|Candidatus Mikella endobia,3,2,7
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Candidatus Tachikawaea|Candidatus Tachikawaea gelatinosa,1,1,2
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Candidatus Gullanella|Candidatus Gullanella endobia,44,6,12
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Atlantibacter|Atlantibacter hermannii,1573,2200,1172
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Kluyvera|Kluyvera intermedia,2513,2316,2336
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Kluyvera|Kluyvera sp. A-F18,78,55,55
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Pluralibacter,9,3,23
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Pluralibacter|Pluralibacter gergoviae,1121,1886,922
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Pluralibacter|[Enterobacter] lignolyticus,1148,1277,891
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Cedecea,77,87,70
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Cedecea|Cedecea neteri,1286,1589,881
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Cedecea|Cedecea lapagei,659,642,281
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Shimwellia|Shimwellia blattae,920,889,660
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Izhakiella|Izhakiella sp. KSNA2,633,723,456
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Pseudescherichia|Pseudescherichia vulneris,769,810,545
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Buttiauxella|Buttiauxella sp. 3AFRM03,822,946,522
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Gibbsiella|Gibbsiella quercinecans,260,330,156
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Limnobaculum|Limnobaculum parvum,149,215,142
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Metakosakonia|Metakosakonia sp. MRY16-398,61,55,112
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Candidatus Ishikawaella|Candidatus Ishikawaella capsulata,8,6,8
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Candidatus Moranella|Candidatus Moranella endobia,668,60,87
Bacteria|NA|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Candidatus Riesia|Candidatus Riesia pediculicola,0,0,1
