,cipbeta0none_S1,cipbeta0none_S2,cipbeta0none_S3
Bacteria|NA|Actinobacteria|Actinobacteria|Micromonosporales|Micromonosporaceae|Actinoplanes|Actinoplanes teichomyceticus,1,0,0
Bacteria|NA|Actinobacteria|Actinobacteria|Micromonosporales|Micromonosporaceae|Actinoplanes|Actinoplanes derwentensis,1,3,7
Bacteria|NA|Actinobacteria|Actinobacteria|Micromonosporales|Micromonosporaceae|Plantactinospora,2,0,0
Bacteria|NA|Actinobacteria|Actinobacteria|Micromonosporales|Micromonosporaceae|Plantactinospora|Plantactinospora sp. BC1,2,5,0
Bacteria|NA|Actinobacteria|Actinobacteria|Streptosporangiales,10,9,2
Bacteria|NA|Actinobacteria|Actinobacteria|Streptosporangiales|Nocardiopsaceae|Nocardiopsis|Nocardiopsis alba,43,51,1
Bacteria|NA|Actinobacteria|Actinobacteria|Streptosporangiales|Nocardiopsaceae|Nocardiopsis|Nocardiopsis gilva,11,29,1
Bacteria|NA|Actinobacteria|Actinobacteria|Streptosporangiales|Nocardiopsaceae|Nocardiopsis|Nocardiopsis dassonvillei,7,16,155
Bacteria|NA|Actinobacteria|Actinobacteria|Streptosporangiales|Nocardiopsaceae|Streptomonospora|Streptomonospora sp. M2,2,2,10
Bacteria|NA|Actinobacteria|Actinobacteria|Streptosporangiales|Streptosporangiaceae|Streptosporangium,1,9,0
Bacteria|NA|Actinobacteria|Actinobacteria|Streptosporangiales|Streptosporangiaceae|Streptosporangium|Streptosporangium roseum,34,28,3
Bacteria|NA|Actinobacteria|Actinobacteria|Streptosporangiales|Streptosporangiaceae|Streptosporangium|Streptosporangium sp. 'caverna',1,5,0
Bacteria|NA|Actinobacteria|Actinobacteria|Streptosporangiales|Streptosporangiaceae|Nonomuraea|Nonomuraea sp. WYY166,6,17,0
Bacteria|NA|Actinobacteria|Actinobacteria|Streptosporangiales|Streptosporangiaceae|Nonomuraea|Nonomuraea sp. ATCC 55076,5,10,1
Bacteria|NA|Actinobacteria|Actinobacteria|Streptosporangiales|Thermomonosporaceae,7,15,0
Bacteria|NA|Actinobacteria|Actinobacteria|Streptosporangiales|Thermomonosporaceae|Actinomadura|Actinomadura sp. WMMB499,10,6,1
Bacteria|NA|Actinobacteria|Actinobacteria|Streptosporangiales|Thermomonosporaceae|Actinomadura|Actinomadura amylolytica,2,5,0
Bacteria|NA|Actinobacteria|Actinobacteria|Frankiales,1,0,0
Bacteria|NA|Actinobacteria|Actinobacteria|Frankiales|Frankiaceae|Frankia|Frankia sp. QA3,17,16,1
Bacteria|NA|Actinobacteria|Actinobacteria|Frankiales|Frankiaceae|Frankia|Frankia sp. EAN1pec,4,6,0
Bacteria|NA|Actinobacteria|Actinobacteria|Frankiales|Frankiaceae|Frankia|Frankia casuarinae,17,0,1
Bacteria|NA|Actinobacteria|Actinobacteria|Frankiales|Frankiaceae|Frankia|Frankia inefficax,2,0,0
Bacteria|NA|Actinobacteria|Actinobacteria|Frankiales|Frankiaceae|Jatrophihabitans|Jatrophihabitans sp. GAS493,11,11,11
Bacteria|NA|Actinobacteria|Actinobacteria|Frankiales|NA|NA|Frankineae bacterium MT45,4,0,9
Bacteria|NA|Actinobacteria|Actinobacteria|Sporichthyales|Sporichthyaceae|Epidermidibacterium|Epidermidibacterium keratini,25,42,0
Bacteria|NA|Actinobacteria|Actinobacteria|Kineosporiales|Kineosporiaceae|Kineococcus|Kineococcus radiotolerans,16,21,3
Bacteria|NA|Actinobacteria|Actinobacteria|Acidothermales|Acidothermaceae|Acidothermus|Acidothermus cellulolyticus,15,20,1
Bacteria|NA|Actinobacteria|Actinobacteria|Actinopolysporales|Actinopolysporaceae|Actinopolyspora|Actinopolyspora erythraea,14,12,1
Bacteria|NA|Actinobacteria|Actinobacteria|Nakamurellales|Nakamurellaceae|Nakamurella|Nakamurella panacisegetis,11,20,3
Bacteria|NA|Actinobacteria|Actinobacteria|Nakamurellales|Nakamurellaceae|Nakamurella|Nakamurella multipartita,3,0,2
Bacteria|NA|Actinobacteria|Actinobacteria|Jiangellales|Jiangellaceae|Jiangella,9,17,0
Bacteria|NA|Actinobacteria|Actinobacteria|Jiangellales|Jiangellaceae|Jiangella|Jiangella alkaliphila,3,5,25
Bacteria|NA|Actinobacteria|Actinobacteria|Catenulisporales|Catenulisporaceae|Catenulispora|Catenulispora acidiphila,10,2,4
Bacteria|NA|Actinobacteria|Actinobacteria|Geodermatophilales|Geodermatophilaceae|Geodermatophilus|Geodermatophilus obscurus,7,6,1
Bacteria|NA|Actinobacteria|Actinobacteria|Geodermatophilales|Geodermatophilaceae|Blastococcus|Blastococcus saxobsidens,3,1,14
Bacteria|NA|Actinobacteria|Actinobacteria|NA|NA|NA|Actinobacteria bacterium YIM 96077,7,17,0
Bacteria|NA|Actinobacteria|Actinobacteria|NA|NA|NA|Actinobacteria bacterium IMCC26256,2,1,0
Bacteria|NA|Actinobacteria|Actinobacteria|Glycomycetales|Glycomycetaceae|Stackebrandtia|Stackebrandtia nassauensis,3,5,1
Bacteria|NA|Actinobacteria|Actinobacteria|NA|NA|Thermobispora|Thermobispora bispora,2,6,0
Bacteria|NA|Actinobacteria|Coriobacteriia|Eggerthellales|Eggerthellaceae|Eggerthella|Eggerthella lenta,28,38,6
Bacteria|NA|Actinobacteria|Coriobacteriia|Eggerthellales|Eggerthellaceae|Gordonibacter|Gordonibacter pamelaeae,15,14,0
Bacteria|NA|Actinobacteria|Coriobacteriia|Eggerthellales|Eggerthellaceae|Arabia|Arabia massiliensis,13,6,44
Bacteria|NA|Actinobacteria|Coriobacteriia|Eggerthellales|Eggerthellaceae|Slackia|Slackia heliotrinireducens,1,3,0
Bacteria|NA|Actinobacteria|Coriobacteriia|Eggerthellales|Eggerthellaceae|Cryptobacterium|Cryptobacterium curtum,1,0,0
Bacteria|NA|Actinobacteria|Coriobacteriia|Coriobacteriales|Atopobiaceae,10,15,0
Bacteria|NA|Actinobacteria|Coriobacteriia|Coriobacteriales|Atopobiaceae|Olsenella|Olsenella sp. GAM18,17,2,0
Bacteria|NA|Actinobacteria|Coriobacteriia|Coriobacteriales|Atopobiaceae|Olsenella|Olsenella sp. oral taxon 807,15,17,1
Bacteria|NA|Actinobacteria|Coriobacteriia|Coriobacteriales|Atopobiaceae|Olsenella|Olsenella uli,5,11,0
Bacteria|NA|Actinobacteria|Coriobacteriia|Coriobacteriales|Atopobiaceae|Parolsenella|Parolsenella catena,4,4,0
Bacteria|NA|Actinobacteria|Nitriliruptoria|Euzebyales|Euzebyaceae|Euzebya|Euzebya sp. DY32-46,25,19,0
Bacteria|NA|Actinobacteria|Rubrobacteria|Rubrobacterales|Rubrobacteraceae|Rubrobacter|Rubrobacter xylanophilus,2,2,0
Bacteria|NA|Actinobacteria|Rubrobacteria|Rubrobacterales|Baekduiaceae|Baekduia|Baekduia soli,2,22,0
Bacteria|NA|Actinobacteria|Thermoleophilia|Solirubrobacterales|Conexibacteraceae|Conexibacter|Conexibacter woesei,3,1,2
Bacteria|NA|Actinobacteria|Acidimicrobiia|Acidimicrobiales|Ilumatobacteraceae|Ilumatobacter|Ilumatobacter coccineus,1,0,37
Bacteria|NA|Actinobacteria|NA|NA|NA|NA|Actinobacteria bacterium IMCC26077,1,0,0
Bacteria|NA|Cyanobacteria|NA|Synechococcales|Prochloraceae|Prochlorococcus,6,15,1
Bacteria|NA|Cyanobacteria|NA|Synechococcales|Prochloraceae|Prochlorococcus|Prochlorococcus sp. MIT 0604,10,13,12
Bacteria|NA|Cyanobacteria|NA|Synechococcales|Prochloraceae|Prochlorococcus|Prochlorococcus marinus,1,19,11
Bacteria|NA|Cyanobacteria|NA|Synechococcales|Synechococcaceae,3,1,1
Bacteria|NA|Cyanobacteria|NA|Synechococcales|Synechococcaceae|Synechococcus|Synechococcus sp. RSCCF101,8,8,0
Bacteria|NA|Cyanobacteria|NA|Synechococcales|Synechococcaceae|Synechococcus|Synechococcus sp. SynAce01,2,1,0
Bacteria|NA|Cyanobacteria|NA|Synechococcales|Synechococcaceae|Synechococcus|Synechococcus sp. PCC 7336,2,2,0
Bacteria|NA|Cyanobacteria|NA|Synechococcales|Synechococcaceae|Synechococcus|Synechococcus sp. WH 8103,1,0,0
Bacteria|NA|Cyanobacteria|NA|Synechococcales|Synechococcaceae|Synechococcus|Synechococcus sp. PCC 73109,1,0,0
Bacteria|NA|Cyanobacteria|NA|Synechococcales|Acaryochloridaceae|Acaryochloris|Acaryochloris marina,16,40,0
Bacteria|NA|Cyanobacteria|NA|Synechococcales|Leptolyngbyaceae|Leptolyngbya|Leptolyngbya boryana,1,2,0
Bacteria|NA|Cyanobacteria|NA|Nostocales,1,5,2
Bacteria|NA|Cyanobacteria|NA|Nostocales|Nostocaceae|Nostoc,10,31,0
Bacteria|NA|Cyanobacteria|NA|Nostocales|Nostocaceae|Nostoc|Nostoc piscinale,11,38,0
Bacteria|NA|Cyanobacteria|NA|Nostocales|Nostocaceae|Nostoc|Nostoc linckia,4,5,0
Bacteria|NA|Cyanobacteria|NA|Nostocales|Nostocaceae|Nostoc|Nostoc sphaeroides,1,0,0
Bacteria|NA|Cyanobacteria|NA|Nostocales|Nostocaceae|Nostoc|Nostoc sp. NIES-3756,1,0,1
Bacteria|NA|Cyanobacteria|NA|Nostocales|Calotrichaceae|Calothrix,3,22,17
Bacteria|NA|Cyanobacteria|NA|Nostocales|Calotrichaceae|Calothrix|Calothrix sp. PCC 7507,1,0,0
Bacteria|NA|Cyanobacteria|NA|Nostocales|Calotrichaceae|Calothrix|Calothrix sp. NIES-3974,1,1,1
Bacteria|NA|Cyanobacteria|NA|Nostocales|Aphanizomenonaceae|Nodularia|Nodularia spumigena,1,6,0
Bacteria|NA|Cyanobacteria|NA|Nostocales|Hapalosiphonaceae|Fischerella|Fischerella sp. NIES-4106,1,2,0
Bacteria|NA|Cyanobacteria,6,74,81
Bacteria|NA|Cyanobacteria|NA|Chroococcales|Aphanothecaceae|Gloeothece|Gloeothece verrucosa,3,12,5
Bacteria|NA|Cyanobacteria|NA|Chroococcales|Chroococcaceae|Geminocystis|Geminocystis sp. NIES-3708,2,27,13
Bacteria|NA|Cyanobacteria|NA|Chroococcales|Chroococcaceae|Geminocystis|Geminocystis sp. NIES-3709,1,59,46
Bacteria|NA|Cyanobacteria|NA|Oscillatoriales|Microcoleaceae|Trichodesmium|Trichodesmium erythraeum,2,1,1
Bacteria|NA|Cyanobacteria|NA|Oscillatoriales|Oscillatoriaceae|Oscillatoria|Oscillatoria acuminata,1,0,1
Bacteria|NA|Cyanobacteria|NA|NA|NA|NA|cyanobacterium endosymbiont of Epithemia turgida,4,4,2
Bacteria|NA|Cyanobacteria|NA|NA|NA|NA|cyanobacterium endosymbiont of Rhopalodia gibberula,1,1,14
Bacteria|NA|Cyanobacteria|NA|Chroococcidiopsidales|Chroococcidiopsidaceae|Chroococcidiopsis|Chroococcidiopsis thermalis,1,5,11
Bacteria|NA|Tenericutes|Mollicutes|Mycoplasmatales|Mycoplasmataceae|Mycoplasma,9,34,9
Bacteria|NA|Tenericutes|Mollicutes|Mycoplasmatales|Mycoplasmataceae|Mycoplasma|Mycoplasma neurolyticum,10,26,0
Bacteria|NA|Tenericutes|Mollicutes|Mycoplasmatales|Mycoplasmataceae|Mycoplasma|Mycoplasma felis,5,0,0
Bacteria|NA|Tenericutes|Mollicutes|Mycoplasmatales|Mycoplasmataceae|Mycoplasma|Mycoplasma columborale,5,15,11
Bacteria|NA|Tenericutes|Mollicutes|Mycoplasmatales|Mycoplasmataceae|Mycoplasma|Mycoplasma pullorum,4,18,6
Bacteria|NA|Tenericutes|Mollicutes|Mycoplasmatales|Mycoplasmataceae|Mycoplasma|Mycoplasma sp. NEAQ87857,1,0,0
Bacteria|NA|Tenericutes|Mollicutes|Mycoplasmatales|Mycoplasmataceae|Mycoplasma|Mycoplasma crocodyli,1,0,0
Bacteria|NA|Tenericutes|Mollicutes|Mycoplasmatales|Mycoplasmataceae|Mycoplasma|Mycoplasma canis,1,0,0
Bacteria|NA|Tenericutes|Mollicutes|Mycoplasmatales|Mycoplasmataceae|Mycoplasma|Mycoplasma canadense,1,0,0
Bacteria|NA|Tenericutes|Mollicutes|Mycoplasmatales|Mycoplasmataceae|Mycoplasma|Mycoplasma bovigenitalium,1,7,4
Bacteria|NA|Tenericutes|Mollicutes|Mycoplasmatales|Mycoplasmataceae|Mycoplasma|Mycoplasma glycophilum,1,0,0
Bacteria|NA|Tenericutes|Mollicutes|Mycoplasmatales|Mycoplasmataceae|Mycoplasma|Mycoplasma cynos,1,1,0
Bacteria|NA|Tenericutes|Mollicutes|Mycoplasmatales|Mycoplasmataceae|Mycoplasma|Mycoplasma capricolum,1,9,3
Bacteria|NA|Tenericutes|Mollicutes|Mycoplasmatales|Mycoplasmataceae|Candidatus Hepatoplasma|Candidatus Hepatoplasma crinochetorum,2,0,0
Bacteria|NA|Tenericutes|Mollicutes|Mycoplasmatales|Mycoplasmataceae|Ureaplasma|Ureaplasma urealyticum,1,0,0
Bacteria|NA|Tenericutes|Mollicutes|Entomoplasmatales,1,2,3
Bacteria|NA|Tenericutes|Mollicutes|Entomoplasmatales|Spiroplasmataceae|Spiroplasma,1,2,0
Bacteria|NA|Tenericutes|Mollicutes|Entomoplasmatales|Spiroplasmataceae|Spiroplasma|Spiroplasma syrphidicola,4,18,8
Bacteria|NA|Tenericutes|Mollicutes|Entomoplasmatales|Spiroplasmataceae|Spiroplasma|Spiroplasma taiwanense,2,0,0
Bacteria|NA|Tenericutes|Mollicutes|Entomoplasmatales|Spiroplasmataceae|Spiroplasma|Spiroplasma floricola,2,3,0
Bacteria|NA|Tenericutes|Mollicutes|Entomoplasmatales|Spiroplasmataceae|Spiroplasma|Spiroplasma sp. TIUS-1,1,0,1
Bacteria|NA|Tenericutes|Mollicutes|Entomoplasmatales|Spiroplasmataceae|Spiroplasma|Spiroplasma litorale,1,0,4
Bacteria|NA|Tenericutes|Mollicutes|Entomoplasmatales|Spiroplasmataceae|Spiroplasma|Spiroplasma citri,1,1,1
Bacteria|NA|Tenericutes|Mollicutes|Entomoplasmatales|Entomoplasmataceae|Entomoplasma|Entomoplasma melaleucae,6,0,0
Bacteria|NA|Tenericutes|Mollicutes|Acholeplasmatales|Acholeplasmataceae|Acholeplasma|Acholeplasma laidlawii,1,1,2
Bacteria|NA|Tenericutes|Mollicutes|Acholeplasmatales|Acholeplasmataceae|Acholeplasma|Acholeplasma axanthum,1,0,1
Bacteria|NA|Tenericutes|Mollicutes|Acholeplasmatales|Acholeplasmataceae|Candidatus Phytoplasma,1,1,4
Bacteria|NA|Tenericutes|NA|NA|NA|NA|Tenericutes bacterium MZ-XQ,1,0,3
Bacteria|NA|Tenericutes|NA|NA|NA|Candidatus Izimaplasma|Candidatus Izimaplasma sp. HR1,1,0,0
Bacteria|NA|Deinococcus-Thermus|Deinococci|Thermales|Thermaceae|Thermus,3,4,0
Bacteria|NA|Deinococcus-Thermus|Deinococci|Thermales|Thermaceae|Thermus|Thermus aquaticus,12,10,1
Bacteria|NA|Deinococcus-Thermus|Deinococci|Thermales|Thermaceae|Thermus|Thermus thermophilus,5,4,0
Bacteria|NA|Deinococcus-Thermus|Deinococci|Thermales|Thermaceae|Meiothermus|Meiothermus ruber,6,14,1
Bacteria|NA|Deinococcus-Thermus|Deinococci|Thermales|Thermaceae|Oceanithermus|Oceanithermus profundus,1,1,0
Bacteria|NA|Deinococcus-Thermus|Deinococci|Deinococcales|Deinococcaceae|Deinococcus,1,3,1
Bacteria|NA|Deinococcus-Thermus|Deinococci|Deinococcales|Deinococcaceae|Deinococcus|Deinococcus irradiatisoli,5,3,53
Bacteria|NA|Deinococcus-Thermus|Deinococci|Deinococcales|Deinococcaceae|Deinococcus|Deinococcus gobiensis,4,2,0
Bacteria|NA|Deinococcus-Thermus|Deinococci|Deinococcales|Deinococcaceae|Deinococcus|Deinococcus geothermalis,1,1,0
Bacteria|NA|Deinococcus-Thermus|Deinococci|Deinococcales|Deinococcaceae|Deinococcus|Deinococcus deserti,1,1,0
Bacteria|NA|Deinococcus-Thermus|Deinococci|Deinococcales|Deinococcaceae|Deinococcus|Deinococcus soli Cha et al. 2016,1,1,0
Bacteria|NA|Deinococcus-Thermus|Deinococci|Deinococcales|Trueperaceae|Truepera|Truepera radiovictrix,1,0,0
Bacteria|NA|Chloroflexi|Chloroflexia|Chloroflexales|Roseiflexaceae|Roseiflexus,1,1,0
Bacteria|NA|Chloroflexi|Chloroflexia|Chloroflexales|Roseiflexaceae|Roseiflexus|Roseiflexus sp. RS-1,12,26,0
Bacteria|NA|Chloroflexi|Chloroflexia|Chloroflexales|Chloroflexaceae|Chloroflexus,1,0,0
Bacteria|NA|Chloroflexi|Thermomicrobia|Sphaerobacterales|Sphaerobacteraceae|Sphaerobacter|Sphaerobacter thermophilus,2,1,1
Bacteria|NA|Chloroflexi|Anaerolineae|Anaerolineales|Anaerolineaceae|Brevefilum|Brevefilum fermentans,2,6,0
Bacteria|NA|Chloroflexi|Ardenticatenia|Ardenticatenales|Ardenticatenaceae|Candidatus Promineofilum|Candidatus Promineofilum breve,2,1,0
Bacteria|NA|Chloroflexi|Dehalococcoidia|Dehalococcoidales|Dehalococcoidaceae|Dehalococcoides,1,24,41
Bacteria|NA|Armatimonadetes|Chthonomonadetes|Chthonomonadales|Chthonomonadaceae|Chthonomonas|Chthonomonas calidirosea,1,0,1
Bacteria|NA|Bacteroidetes,595,633,782
Bacteria|NA|Bacteroidetes|Bacteroidia,12,3,8
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales,4230,9882,11597
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides,28485,51993,56692
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides|Bacteroides ovatus,79181,92305,90901
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides|Bacteroides fragilis,55098,166366,100895
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides|Bacteroides uniformis,34496,70608,79778
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides|Bacteroides thetaiotaomicron,29260,58718,113286
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides|Bacteroides dorei,28724,74708,89678
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides|Bacteroides sp. A1C1,10170,19828,22110
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides|Bacteroides xylanisolvens,4986,14708,18960
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides|Bacteroides vulgatus,2533,12495,5455
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides|Bacteroides caecimuris,2060,2716,3533
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides|Bacteroides cellulosilyticus,1262,1165,3577
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides|Bacteroides caccae,1126,997,834
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides|Bacteroides intestinalis,319,774,1290
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides|Bacteroides helcogenes,206,373,390
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides|Bacteroides heparinolyticus,202,400,354
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides|Bacteroides salanitronis,75,476,368
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides|Bacteroides zoogleoformans,41,177,126
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides|Bacteroides coprosuis,17,52,27
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Tannerellaceae,2,0,5
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Tannerellaceae|Parabacteroides,522,10410,22034
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Tannerellaceae|Parabacteroides|Parabacteroides distasonis,1817,29764,64833
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Tannerellaceae|Parabacteroides|Parabacteroides sp. CT06,87,517,1197
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Tannerellaceae|Tannerella|Tannerella forsythia,2,5,21
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Odoribacteraceae,118,57,139
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Odoribacteraceae|Butyricimonas|Butyricimonas faecalis,754,585,1188
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Odoribacteraceae|Odoribacter|Odoribacter splanchnicus,123,321,469
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Rikenellaceae|Alistipes,8,21,26
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Rikenellaceae|Alistipes|Alistipes communis,71,136,165
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Rikenellaceae|Alistipes|Alistipes sp. dk3624,59,34,60
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Rikenellaceae|Alistipes|Alistipes shahii,30,34,104
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Rikenellaceae|Alistipes|Alistipes finegoldii,21,127,79
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Rikenellaceae|Alistipes|Alistipes onderdonkii,21,44,83
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Rikenellaceae|Alistipes|Alistipes dispar,12,60,26
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Rikenellaceae|Alistipes|Alistipes megaguti,3,82,45
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Rikenellaceae|Mucinivorans|Mucinivorans hirudinis,15,16,18
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae,1,1,1
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella,45,157,22
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|Prevotella intermedia,28,88,50
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|Prevotella scopos,8,30,1
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|Prevotella ruminicola,1,2,4
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|Prevotella melaninogenica,1,11,7
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|Prevotella oris,1,6,3
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|Prevotella enoeca,1,5,5
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|Prevotella fusca,1,13,0
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella|Prevotella sp. oral taxon 299,1,6,12
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Paraprevotella|Paraprevotella xylaniphila,84,287,488
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Alloprevotella|Alloprevotella sp. E39,4,2,3
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Muribaculaceae,5,0,1
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Muribaculaceae|Muribaculum,7,33,18
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Muribaculaceae|Muribaculum|Muribaculum sp. TLL-A4,44,129,106
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Muribaculaceae|Muribaculum|Muribaculum sp. H5,9,39,105
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Muribaculaceae|Muribaculum|Muribaculum intestinale,4,21,50
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Muribaculaceae|NA|Muribaculaceae bacterium DSM 108610,37,116,51
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Muribaculaceae|Duncaniella,12,67,75
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Barnesiellaceae|Barnesiella|Barnesiella viscericola,36,114,104
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Porphyromonas,2,1,1
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Porphyromonas|Porphyromonas gingivalis,11,88,17
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Porphyromonas|Porphyromonas crevioricanis,2,2,5
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Porphyromonas|Porphyromonas cangingivalis,1,5,0
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Fermentimonas|Fermentimonas caenicola,8,18,28
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Petrimonas|Petrimonas mucosa,1,31,14
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|NA|Candidatus Azobacteroides|Candidatus Azobacteroides pseudotrichonymphae,6,10,0
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|NA|NA|Bacteroidales bacterium CF,1,1,0
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Dysgonamonadaceae|Proteiniphilum|Proteiniphilum saccharofermentans,3,1,2
Bacteria|NA|Bacteroidetes|Bacteroidia|Bacteroidales|Paludibacteraceae|Paludibacter|Paludibacter propionicigenes,3,4,1
Bacteria|NA|Bacteroidetes|Bacteroidia|Marinilabiliales|Prolixibacteraceae|Draconibacterium|Draconibacterium orientale,1,0,7
Bacteria|NA|Bacteroidetes|Bacteroidia|Marinilabiliales|Prolixibacteraceae|Draconibacterium|Draconibacterium sp. M1,1,6,2
Bacteria|NA|Bacteroidetes|Bacteroidia|Marinilabiliales|Prolixibacteraceae|NA|Prolixibacteraceae bacterium WC007,2,0,1
Bacteria|NA|Bacteroidetes|Bacteroidia|Marinilabiliales|Marinilabiliaceae|Alkalitalea|Alkalitalea saponilacus,1,0,4
Bacteria|NA|Bacteroidetes|Bacteroidia|Marinilabiliales|Marinifilaceae|Labilibaculum|Labilibaculum antarcticum,1,9,1
Bacteria|NA|Bacteroidetes|Bacteroidia|Marinilabiliales|Salinivirgaceae|Salinivirga|Salinivirga cyanobacteriivorans,1,4,0
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales,58,214,0
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae,7,65,53
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Apibacter|Apibacter sp. HY041,31,227,0
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Chryseobacterium,4,4,1
Bacteria|NA|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Chryseobacterium|Chryseobacterium piperi,5,6,11
