,cipmet0none_S1,cipmet0none_S2,cipmet0none_S3
Bacteria|NA|Actinobacteria|Actinobacteria|Streptomycetales|Streptomycetaceae|Streptomyces|Streptomyces actuosus,1,0,4
Bacteria|NA|Actinobacteria|Actinobacteria|Streptomycetales|Streptomycetaceae|Streptomyces|Streptomyces aquilus,1,0,0
Bacteria|NA|Actinobacteria|Actinobacteria|Streptomycetales|Streptomycetaceae|Streptomyces|Streptomyces griseochromogenes,1,0,0
Bacteria|NA|Actinobacteria|Actinobacteria|Streptomycetales|Streptomycetaceae|Streptomyces|Streptomyces ficellus,1,1,0
Bacteria|NA|Actinobacteria|Actinobacteria|Streptomycetales|Streptomycetaceae|Streptomyces|Streptomyces qaidamensis,1,2,2
Bacteria|NA|Actinobacteria|Actinobacteria|Streptomycetales|Streptomycetaceae|Streptomyces|Streptomyces spongiicola,1,1,0
Bacteria|NA|Actinobacteria|Actinobacteria|Streptomycetales|Streptomycetaceae|Streptomyces|Streptomyces pratensis,1,0,1
Bacteria|NA|Actinobacteria|Actinobacteria|Streptomycetales|Streptomycetaceae|Streptomyces|Streptomyces xiamenensis,1,0,1
Bacteria|NA|Actinobacteria|Actinobacteria|Streptomycetales|Streptomycetaceae|Streptomyces|Streptomyces malaysiensis,1,0,0
Bacteria|NA|Actinobacteria|Actinobacteria|Streptomycetales|Streptomycetaceae|Streptomyces|Streptomyces tendae,1,0,1
Bacteria|NA|Actinobacteria|Actinobacteria|Streptomycetales|Streptomycetaceae|Streptomyces|Streptomyces alboflavus,1,0,0
Bacteria|NA|Actinobacteria|Actinobacteria|Streptomycetales|Streptomycetaceae|Streptomyces|Streptomyces exfoliatus,1,2,0
Bacteria|NA|Actinobacteria|Actinobacteria|Streptomycetales|Streptomycetaceae|Streptomyces|Streptomyces aureoverticillatus,1,1,0
Bacteria|NA|Actinobacteria|Actinobacteria|Streptomycetales|Streptomycetaceae|Streptomyces|Streptomyces glaucescens,1,0,0
Bacteria|NA|Actinobacteria|Actinobacteria|Streptomycetales|Streptomycetaceae|Streptomyces|Streptomyces hygroscopicus,1,0,0
Bacteria|NA|Actinobacteria|Actinobacteria|Streptomycetales|Streptomycetaceae|Streptomyces|Streptomyces nitrosporeus,1,0,0
Bacteria|NA|Actinobacteria|Actinobacteria|Streptomycetales|Streptomycetaceae|Kitasatospora|Kitasatospora setae,61,1,11
Bacteria|NA|Actinobacteria|Actinobacteria|Streptomycetales|Streptomycetaceae|Kitasatospora|Kitasatospora sp. MMS16-BH015,2,38,0
Bacteria|NA|Actinobacteria|Actinobacteria|Streptomycetales|Streptomycetaceae|Kitasatospora|Kitasatospora albolonga,1,1,0
Bacteria|NA|Actinobacteria|Actinobacteria|Streptomycetales|Streptomycetaceae|Streptacidiphilus|Streptacidiphilus sp. DSM 106435,5,0,2
Bacteria|NA|Actinobacteria|Actinobacteria|Propionibacteriales,5,1,0
Bacteria|NA|Actinobacteria|Actinobacteria|Propionibacteriales|Propionibacteriaceae,39,0,14
Bacteria|NA|Actinobacteria|Actinobacteria|Propionibacteriales|Propionibacteriaceae|Cutibacterium|Cutibacterium acnes,264,17,45
Bacteria|NA|Actinobacteria|Actinobacteria|Propionibacteriales|Propionibacteriaceae|Cutibacterium|Cutibacterium avidum,88,6,20
Bacteria|NA|Actinobacteria|Actinobacteria|Propionibacteriales|Propionibacteriaceae|Cutibacterium|Cutibacterium granulosum,2,0,0
Bacteria|NA|Actinobacteria|Actinobacteria|Propionibacteriales|Propionibacteriaceae|Tessaracoccus,6,0,0
Bacteria|NA|Actinobacteria|Actinobacteria|Propionibacteriales|Propionibacteriaceae|Tessaracoccus|Tessaracoccus aquimaris,75,7,21
Bacteria|NA|Actinobacteria|Actinobacteria|Propionibacteriales|Propionibacteriaceae|Tessaracoccus|Tessaracoccus sp. T2.5-30,54,2,24
Bacteria|NA|Actinobacteria|Actinobacteria|Propionibacteriales|Propionibacteriaceae|Tessaracoccus|Tessaracoccus flavus,47,0,0
Bacteria|NA|Actinobacteria|Actinobacteria|Propionibacteriales|Propionibacteriaceae|Tessaracoccus|Tessaracoccus timonensis,20,1,3
Bacteria|NA|Actinobacteria|Actinobacteria|Propionibacteriales|Propionibacteriaceae|Tessaracoccus|Tessaracoccus flavescens,14,0,0
Bacteria|NA|Actinobacteria|Actinobacteria|Propionibacteriales|Propionibacteriaceae|Propionibacterium,4,0,0
Bacteria|NA|Actinobacteria|Actinobacteria|Propionibacteriales|Propionibacteriaceae|Propionibacterium|Propionibacterium acidifaciens,116,4,32
Bacteria|NA|Actinobacteria|Actinobacteria|Propionibacteriales|Propionibacteriaceae|Propionibacterium|Propionibacterium australiense,26,6,11
Bacteria|NA|Actinobacteria|Actinobacteria|Propionibacteriales|Propionibacteriaceae|Propionibacterium|Propionibacterium freudenreichii,7,0,0
Bacteria|NA|Actinobacteria|Actinobacteria|Propionibacteriales|Propionibacteriaceae|Auraticoccus|Auraticoccus monumenti,57,1,32
Bacteria|NA|Actinobacteria|Actinobacteria|Propionibacteriales|Propionibacteriaceae|Acidipropionibacterium,5,0,1
Bacteria|NA|Actinobacteria|Actinobacteria|Propionibacteriales|Propionibacteriaceae|Acidipropionibacterium|Acidipropionibacterium jensenii,22,0,2
Bacteria|NA|Actinobacteria|Actinobacteria|Propionibacteriales|Propionibacteriaceae|Acidipropionibacterium|Acidipropionibacterium virtanenii,8,0,0
Bacteria|NA|Actinobacteria|Actinobacteria|Propionibacteriales|Propionibacteriaceae|Acidipropionibacterium|Acidipropionibacterium acidipropionici,4,0,0
Bacteria|NA|Actinobacteria|Actinobacteria|Propionibacteriales|Propionibacteriaceae|Raineyella|Raineyella sp. CBA3103,18,0,0
Bacteria|NA|Actinobacteria|Actinobacteria|Propionibacteriales|Propionibacteriaceae|Microlunatus|Microlunatus soli,3,0,1
Bacteria|NA|Actinobacteria|Actinobacteria|Propionibacteriales|Propionibacteriaceae|Microlunatus|Microlunatus phosphovorus,2,2,0
Bacteria|NA|Actinobacteria|Actinobacteria|Propionibacteriales|Propionibacteriaceae|Microlunatus|Microlunatus sp. KUDC0627,1,0,3
Bacteria|NA|Actinobacteria|Actinobacteria|Propionibacteriales|Propionibacteriaceae|Propionimicrobium|Propionimicrobium sp. Marseille-P3275,2,0,1
Bacteria|NA|Actinobacteria|Actinobacteria|Propionibacteriales|Propionibacteriaceae|Pseudopropionibacterium|Pseudopropionibacterium propionicum,2,0,1
Bacteria|NA|Actinobacteria|Actinobacteria|Propionibacteriales|Nocardioidaceae,13,0,0
Bacteria|NA|Actinobacteria|Actinobacteria|Propionibacteriales|Nocardioidaceae|Nocardioides,2,0,0
Bacteria|NA|Actinobacteria|Actinobacteria|Propionibacteriales|Nocardioidaceae|Nocardioides|Nocardioides sp. HY056,25,4,5
Bacteria|NA|Actinobacteria|Actinobacteria|Propionibacteriales|Nocardioidaceae|Nocardioides|Nocardioides sp. SB3-45,18,2,11
Bacteria|NA|Actinobacteria|Actinobacteria|Propionibacteriales|Nocardioidaceae|Nocardioides|Nocardioides sp. dk3136,9,0,0
Bacteria|NA|Actinobacteria|Actinobacteria|Propionibacteriales|Nocardioidaceae|Nocardioides|Nocardioides sp. 78,2,0,0
Bacteria|NA|Actinobacteria|Actinobacteria|Propionibacteriales|Nocardioidaceae|Nocardioides|Nocardioides sp. R-3366,2,1,1
Bacteria|NA|Actinobacteria|Actinobacteria|Propionibacteriales|Nocardioidaceae|Nocardioides|Nocardioides sp. MMS17-SY117,1,0,0
Bacteria|NA|Actinobacteria|Actinobacteria|Propionibacteriales|Nocardioidaceae|Nocardioides|Nocardioides sp. S-1144,1,1,0
Bacteria|NA|Actinobacteria|Actinobacteria|Propionibacteriales|Nocardioidaceae|Nocardioides|Nocardioides sp. KUDC 5002,1,0,1
Bacteria|NA|Actinobacteria|Actinobacteria|Propionibacteriales|Nocardioidaceae|Nocardioides|Nocardioides sp. dk884,1,0,0
Bacteria|NA|Actinobacteria|Actinobacteria|Propionibacteriales|Nocardioidaceae|Nocardioides|Nocardioides daphniae,4,0,0
Bacteria|NA|Actinobacteria|Actinobacteria|Propionibacteriales|Nocardioidaceae|Nocardioides|Nocardioides humi,3,0,1
Bacteria|NA|Actinobacteria|Actinobacteria|Propionibacteriales|Nocardioidaceae|Nocardioides|Nocardioides baekrokdamisoli,1,0,1
Bacteria|NA|Actinobacteria|Actinobacteria|Propionibacteriales|Nocardioidaceae|Aeromicrobium|Aeromicrobium sp. 592,4,0,0
Bacteria|NA|Actinobacteria|Actinobacteria|Propionibacteriales|Nocardioidaceae|Aeromicrobium|Aeromicrobium sp. A1-2,2,0,0
Bacteria|NA|Actinobacteria|Actinobacteria|Propionibacteriales|Nocardioidaceae|Aeromicrobium|Aeromicrobium sp. MF47,1,0,1
Bacteria|NA|Actinobacteria|Actinobacteria|Propionibacteriales|Nocardioidaceae|Aeromicrobium|Aeromicrobium erythreum,6,1,2
Bacteria|NA|Actinobacteria|Actinobacteria|Propionibacteriales|Nocardioidaceae|Aeromicrobium|Aeromicrobium marinum,1,0,0
Bacteria|NA|Actinobacteria|Actinobacteria|Propionibacteriales|Nocardioidaceae|Aeromicrobium|Aeromicrobium choanae,1,0,1
Bacteria|NA|Actinobacteria|Actinobacteria|Propionibacteriales|Nocardioidaceae|Friedmanniella|Friedmanniella luteola,3,0,0
Bacteria|NA|Actinobacteria|Actinobacteria|Propionibacteriales|Nocardioidaceae|Friedmanniella|Friedmanniella sagamiharensis,3,0,0
Bacteria|NA|Actinobacteria|Actinobacteria|Propionibacteriales|Nocardioidaceae|Kribbella|Kribbella flavida,6,1,2
Bacteria|NA|Actinobacteria|Actinobacteria|Propionibacteriales|Nocardioidaceae|Actinopolymorpha|Actinopolymorpha singaporensis,5,0,0
Bacteria|NA|Actinobacteria|Actinobacteria|Propionibacteriales|Nocardioidaceae|Pimelobacter|Pimelobacter simplex,3,0,2
Bacteria|NA|Actinobacteria|Actinobacteria|Propionibacteriales|Nocardioidaceae|Micropruina|Micropruina glycogenica,3,0,2
Bacteria|NA|Actinobacteria|Actinobacteria|Pseudonocardiales|Pseudonocardiaceae,4,0,0
Bacteria|NA|Actinobacteria|Actinobacteria|Pseudonocardiales|Pseudonocardiaceae|Actinoalloteichus,3,0,0
Bacteria|NA|Actinobacteria|Actinobacteria|Pseudonocardiales|Pseudonocardiaceae|Actinoalloteichus|Actinoalloteichus hymeniacidonis,203,17,37
Bacteria|NA|Actinobacteria|Actinobacteria|Pseudonocardiales|Pseudonocardiaceae|Amycolatopsis,20,2,9
Bacteria|NA|Actinobacteria|Actinobacteria|Pseudonocardiales|Pseudonocardiaceae|Amycolatopsis|Amycolatopsis sp. AA4,43,4,11
Bacteria|NA|Actinobacteria|Actinobacteria|Pseudonocardiales|Pseudonocardiaceae|Amycolatopsis|Amycolatopsis sp. BJA-103,7,0,0
Bacteria|NA|Actinobacteria|Actinobacteria|Pseudonocardiales|Pseudonocardiaceae|Amycolatopsis|Amycolatopsis methanolica,47,12,34
Bacteria|NA|Actinobacteria|Actinobacteria|Pseudonocardiales|Pseudonocardiaceae|Amycolatopsis|Amycolatopsis albispora,24,4,8
Bacteria|NA|Actinobacteria|Actinobacteria|Pseudonocardiales|Pseudonocardiaceae|Amycolatopsis|Amycolatopsis mediterranei,7,0,1
Bacteria|NA|Actinobacteria|Actinobacteria|Pseudonocardiales|Pseudonocardiaceae|Amycolatopsis|Amycolatopsis keratiniphila,4,2,0
Bacteria|NA|Actinobacteria|Actinobacteria|Pseudonocardiales|Pseudonocardiaceae|Amycolatopsis|Amycolatopsis orientalis,3,0,0
Bacteria|NA|Actinobacteria|Actinobacteria|Pseudonocardiales|Pseudonocardiaceae|Amycolatopsis|Amycolatopsis japonica,1,5,2
Bacteria|NA|Actinobacteria|Actinobacteria|Pseudonocardiales|Pseudonocardiaceae|Saccharomonospora,2,0,0
Bacteria|NA|Actinobacteria|Actinobacteria|Pseudonocardiales|Pseudonocardiaceae|Saccharomonospora|Saccharomonospora marina,46,5,13
Bacteria|NA|Actinobacteria|Actinobacteria|Pseudonocardiales|Pseudonocardiaceae|Saccharomonospora|Saccharomonospora cyanea,9,0,0
Bacteria|NA|Actinobacteria|Actinobacteria|Pseudonocardiales|Pseudonocardiaceae|Saccharomonospora|Saccharomonospora sp. 31sw,2,0,0
Bacteria|NA|Actinobacteria|Actinobacteria|Pseudonocardiales|Pseudonocardiaceae|Saccharothrix|Saccharothrix syringae,31,4,6
Bacteria|NA|Actinobacteria|Actinobacteria|Pseudonocardiales|Pseudonocardiaceae|Saccharothrix|Saccharothrix espanaensis,5,1,13
Bacteria|NA|Actinobacteria|Actinobacteria|Pseudonocardiales|Pseudonocardiaceae|Lentzea|Lentzea guizhouensis,30,5,12
Bacteria|NA|Actinobacteria|Actinobacteria|Pseudonocardiales|Pseudonocardiaceae|Pseudonocardia,3,0,1
Bacteria|NA|Actinobacteria|Actinobacteria|Pseudonocardiales|Pseudonocardiaceae|Pseudonocardia|Pseudonocardia sp. HH130629-09,7,0,19
Bacteria|NA|Actinobacteria|Actinobacteria|Pseudonocardiales|Pseudonocardiaceae|Pseudonocardia|Pseudonocardia autotrophica,7,0,1
Bacteria|NA|Actinobacteria|Actinobacteria|Pseudonocardiales|Pseudonocardiaceae|Pseudonocardia|Pseudonocardia dioxanivorans,5,1,3
Bacteria|NA|Actinobacteria|Actinobacteria|Pseudonocardiales|Pseudonocardiaceae|Kutzneria|Kutzneria albida,9,1,0
Bacteria|NA|Actinobacteria|Actinobacteria|Pseudonocardiales|Pseudonocardiaceae|Actinosynnema,3,0,1
Bacteria|NA|Actinobacteria|Actinobacteria|Pseudonocardiales|Pseudonocardiaceae|Saccharopolyspora,1,0,0
Bacteria|NA|Actinobacteria|Actinobacteria|Pseudonocardiales|Pseudonocardiaceae|Saccharopolyspora|Saccharopolyspora erythraea,1,0,1
Bacteria|NA|Actinobacteria|Actinobacteria|Pseudonocardiales|Pseudonocardiaceae|Allokutzneria|Allokutzneria albata,2,0,0
Bacteria|NA|Actinobacteria|Actinobacteria|Pseudonocardiales|Pseudonocardiaceae|Kibdelosporangium|Kibdelosporangium phytohabitans,1,1,1
Bacteria|NA|Actinobacteria|Actinobacteria|Pseudonocardiales|Pseudonocardiaceae|Alloactinosynnema|Alloactinosynnema sp. L-07,1,1,24
Bacteria|NA|Actinobacteria|Actinobacteria|Micromonosporales|Micromonosporaceae,7,3,7
Bacteria|NA|Actinobacteria|Actinobacteria|Micromonosporales|Micromonosporaceae|Micromonospora,212,18,58
Bacteria|NA|Actinobacteria|Actinobacteria|Micromonosporales|Micromonosporaceae|Micromonospora|Micromonospora sp. WMMA2032,39,5,7
Bacteria|NA|Actinobacteria|Actinobacteria|Micromonosporales|Micromonosporaceae|Micromonospora|Micromonospora zamorensis,4,0,1
Bacteria|NA|Actinobacteria|Actinobacteria|Micromonosporales|Micromonosporaceae|Micromonospora|Micromonospora purpureochromogenes,3,0,0
Bacteria|NA|Actinobacteria|Actinobacteria|Micromonosporales|Micromonosporaceae|Micromonospora|Micromonospora auratinigra,3,0,2
Bacteria|NA|Actinobacteria|Actinobacteria|Micromonosporales|Micromonosporaceae|Micromonospora|Micromonospora krabiensis,3,0,0
Bacteria|NA|Actinobacteria|Actinobacteria|Micromonosporales|Micromonosporaceae|Micromonospora|Micromonospora terminaliae,2,0,1
Bacteria|NA|Actinobacteria|Actinobacteria|Micromonosporales|Micromonosporaceae|Micromonospora|Micromonospora echinospora,2,0,1
Bacteria|NA|Actinobacteria|Actinobacteria|Micromonosporales|Micromonosporaceae|Micromonospora|Micromonospora siamensis,2,0,2
Bacteria|NA|Actinobacteria|Actinobacteria|Micromonosporales|Micromonosporaceae|Micromonospora|Micromonospora aurantiaca,1,0,0
Bacteria|NA|Actinobacteria|Actinobacteria|Micromonosporales|Micromonosporaceae|Micromonospora|Micromonospora narathiwatensis,1,0,0
Bacteria|NA|Actinobacteria|Actinobacteria|Micromonosporales|Micromonosporaceae|Actinoplanes,4,0,0
Bacteria|NA|Actinobacteria|Actinobacteria|Micromonosporales|Micromonosporaceae|Actinoplanes|Actinoplanes sp. N902-109,9,0,0
Bacteria|NA|Actinobacteria|Actinobacteria|Micromonosporales|Micromonosporaceae|Actinoplanes|Actinoplanes derwentensis,6,2,2
Bacteria|NA|Actinobacteria|Actinobacteria|Micromonosporales|Micromonosporaceae|Actinoplanes|Actinoplanes friuliensis,2,0,2
Bacteria|NA|Actinobacteria|Actinobacteria|Micromonosporales|Micromonosporaceae|Plantactinospora|Plantactinospora sp. BC1,2,0,0
Bacteria|NA|Actinobacteria|Actinobacteria|Micromonosporales|Micromonosporaceae|Plantactinospora|Plantactinospora sp. KBS50,1,0,1
Bacteria|NA|Actinobacteria|Actinobacteria|Micromonosporales|Micromonosporaceae|Verrucosispora|Verrucosispora maris,1,0,2
Bacteria|NA|Actinobacteria|Actinobacteria|Streptosporangiales,5,0,0
Bacteria|NA|Actinobacteria|Actinobacteria|Streptosporangiales|Nocardiopsaceae|Nocardiopsis|Nocardiopsis dassonvillei,235,15,69
Bacteria|NA|Actinobacteria|Actinobacteria|Streptosporangiales|Nocardiopsaceae|Nocardiopsis|Nocardiopsis alba,12,0,0
Bacteria|NA|Actinobacteria|Actinobacteria|Streptosporangiales|Nocardiopsaceae|Nocardiopsis|Nocardiopsis gilva,4,0,0
Bacteria|NA|Actinobacteria|Actinobacteria|Streptosporangiales|Nocardiopsaceae|Streptomonospora|Streptomonospora sp. M2,21,1,5
Bacteria|NA|Actinobacteria|Actinobacteria|Streptosporangiales|Streptosporangiaceae|Streptosporangium,1,0,0
Bacteria|NA|Actinobacteria|Actinobacteria|Streptosporangiales|Streptosporangiaceae|Streptosporangium|Streptosporangium roseum,3,4,1
Bacteria|NA|Actinobacteria|Actinobacteria|Streptosporangiales|Streptosporangiaceae|Streptosporangium|Streptosporangium sp. 'caverna',1,0,3
Bacteria|NA|Actinobacteria|Actinobacteria|Streptosporangiales|Streptosporangiaceae|Nonomuraea|Nonomuraea sp. ATCC 55076,2,0,0
Bacteria|NA|Actinobacteria|Actinobacteria|Streptosporangiales|Streptosporangiaceae|Nonomuraea|Nonomuraea sp. WYY166,2,0,0
Bacteria|NA|Actinobacteria|Actinobacteria|Streptosporangiales|Thermomonosporaceae,2,1,0
Bacteria|NA|Actinobacteria|Actinobacteria|Streptosporangiales|Thermomonosporaceae|Actinomadura|Actinomadura sp. WMMB499,1,0,0
Bacteria|NA|Actinobacteria|Actinobacteria|Frankiales|Frankiaceae|Frankia|Frankia alni,169,18,46
Bacteria|NA|Actinobacteria|Actinobacteria|Frankiales|Frankiaceae|Frankia|Frankia sp. QA3,4,0,1
Bacteria|NA|Actinobacteria|Actinobacteria|Frankiales|Frankiaceae|Frankia|Frankia sp. EAN1pec,3,0,1
Bacteria|NA|Actinobacteria|Actinobacteria|Frankiales|Frankiaceae|Frankia|Frankia casuarinae,2,0,1
Bacteria|NA|Actinobacteria|Actinobacteria|Frankiales|Frankiaceae|Frankia|Frankia inefficax,1,0,0
Bacteria|NA|Actinobacteria|Actinobacteria|Frankiales|Frankiaceae|Jatrophihabitans|Jatrophihabitans sp. GAS493,1,0,2
Bacteria|NA|Actinobacteria|Actinobacteria|Frankiales|NA|NA|Frankineae bacterium MT45,4,0,1
Bacteria|NA|Actinobacteria|Actinobacteria|Jiangellales|Jiangellaceae|Jiangella,1,0,0
Bacteria|NA|Actinobacteria|Actinobacteria|Jiangellales|Jiangellaceae|Jiangella|Jiangella alkaliphila,30,1,8
Bacteria|NA|Actinobacteria|Actinobacteria|Jiangellales|Jiangellaceae|Jiangella|Jiangella sp. DSM 45060,2,1,0
Bacteria|NA|Actinobacteria|Actinobacteria|Geodermatophilales|Geodermatophilaceae,1,0,0
Bacteria|NA|Actinobacteria|Actinobacteria|Geodermatophilales|Geodermatophilaceae|Blastococcus|Blastococcus saxobsidens,16,2,8
Bacteria|NA|Actinobacteria|Actinobacteria|Geodermatophilales|Geodermatophilaceae|Geodermatophilus|Geodermatophilus obscurus,2,0,1
Bacteria|NA|Actinobacteria|Actinobacteria|Geodermatophilales|Geodermatophilaceae|Modestobacter|Modestobacter marinus,2,0,1
Bacteria|NA|Actinobacteria|Actinobacteria|Candidatus Nanopelagicales|Candidatus Nanopelagicaceae|Candidatus Nanopelagicus|Candidatus Nanopelagicus abundans,11,10,0
Bacteria|NA|Actinobacteria|Actinobacteria|Candidatus Nanopelagicales|Candidatus Nanopelagicaceae|Candidatus Planktophila|Candidatus Planktophila versatilis,3,0,0
Bacteria|NA|Actinobacteria|Actinobacteria|Nakamurellales|Nakamurellaceae|Nakamurella|Nakamurella panacisegetis,7,0,2
Bacteria|NA|Actinobacteria|Actinobacteria|Nakamurellales|Nakamurellaceae|Nakamurella|Nakamurella multipartita,1,0,0
Bacteria|NA|Actinobacteria|Actinobacteria|Sporichthyales|Sporichthyaceae|Epidermidibacterium|Epidermidibacterium keratini,5,0,0
Bacteria|NA|Actinobacteria|Actinobacteria|Kineosporiales|Kineosporiaceae|Kineococcus|Kineococcus radiotolerans,4,0,0
Bacteria|NA|Actinobacteria|Actinobacteria|Acidothermales|Acidothermaceae|Acidothermus|Acidothermus cellulolyticus,3,0,0
Bacteria|NA|Actinobacteria|Actinobacteria|Glycomycetales|Glycomycetaceae|Stackebrandtia|Stackebrandtia nassauensis,2,0,3
Bacteria|NA|Actinobacteria|Actinobacteria|Catenulisporales|Catenulisporaceae|Catenulispora|Catenulispora acidiphila,2,2,3
Bacteria|NA|Actinobacteria|Actinobacteria|NA|NA|NA|Actinobacteria bacterium IMCC26256,1,0,1
Bacteria|NA|Actinobacteria|Actinobacteria|NA|NA|NA|Actinobacteria bacterium YIM 96077,1,0,0
Bacteria|NA|Actinobacteria|Actinobacteria|Actinopolysporales|Actinopolysporaceae|Actinopolyspora|Actinopolyspora erythraea,1,2,0
Bacteria|NA|Actinobacteria|Coriobacteriia|Eggerthellales|Eggerthellaceae|Arabia|Arabia massiliensis,50,4,26
Bacteria|NA|Actinobacteria|Coriobacteriia|Eggerthellales|Eggerthellaceae|Phoenicibacter|Phoenicibacter congonensis,13,13,0
Bacteria|NA|Actinobacteria|Coriobacteriia|Eggerthellales|Eggerthellaceae|Eggerthella|Eggerthella lenta,11,2,1
Bacteria|NA|Actinobacteria|Coriobacteriia|Eggerthellales|Eggerthellaceae|Eggerthella|Eggerthella sp. YY7918,1,82,0
Bacteria|NA|Actinobacteria|Coriobacteriia|Eggerthellales|Eggerthellaceae|Slackia|Slackia heliotrinireducens,1,0,0
Bacteria|NA|Actinobacteria|Coriobacteriia|Eggerthellales|Eggerthellaceae|Gordonibacter|Gordonibacter pamelaeae,1,0,0
Bacteria|NA|Actinobacteria|Coriobacteriia|Coriobacteriales|Atopobiaceae,5,0,2
Bacteria|NA|Actinobacteria|Coriobacteriia|Coriobacteriales|Atopobiaceae|Olsenella|Olsenella uli,3,0,0
Bacteria|NA|Actinobacteria|Coriobacteriia|Coriobacteriales|Atopobiaceae|Olsenella|Olsenella sp. oral taxon 807,2,0,1
Bacteria|NA|Actinobacteria|Coriobacteriia|Coriobacteriales|Atopobiaceae|Parolsenella|Parolsenella catena,3,0,233
Bacteria|NA|Actinobacteria|Coriobacteriia|Coriobacteriales|Coriobacteriaceae|NA|Coriobacteriaceae bacterium 68-1-3,1,0,0
Bacteria|NA|Actinobacteria|Coriobacteriia|Coriobacteriales|Coriobacteriaceae|Collinsella|Collinsella aerofaciens,1,180,25
Bacteria|NA|Actinobacteria|Acidimicrobiia|Acidimicrobiales,1,0,0
Bacteria|NA|Actinobacteria|Acidimicrobiia|Acidimicrobiales|Ilumatobacteraceae|Ilumatobacter|Ilumatobacter coccineus,65,4,21
Bacteria|NA|Actinobacteria|Acidimicrobiia|Acidimicrobiales|Iamiaceae|NA|Iamiaceae bacterium SCSIO 58843,1,0,1
Bacteria|NA|Actinobacteria|NA|NA|NA|NA|Actinobacteria bacterium IMCC26103,4,5,3
Bacteria|NA|Actinobacteria|Nitriliruptoria|Euzebyales|Euzebyaceae|Euzebya|Euzebya sp. DY32-46,3,0,0
Bacteria|NA|Actinobacteria|Thermoleophilia|Solirubrobacterales|Conexibacteraceae|Conexibacter|Conexibacter woesei,2,0,2
Bacteria|NA|Actinobacteria|Rubrobacteria|Rubrobacterales|Rubrobacteraceae|Rubrobacter,1,0,0
Bacteria|NA|Firmicutes,11722,14019,9124
Bacteria|NA|Firmicutes|Bacilli,14951,7958,6369
Bacteria|NA|Firmicutes|Bacilli|Lactobacillales,20700,6823,8167
Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Enterococcaceae,3964,1722,617
Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Enterococcaceae|Enterococcus,609612,45105,65782
Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Enterococcaceae|Enterococcus|Enterococcus sp. HSIEG1,27501,186,1683
Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Enterococcaceae|Enterococcus|Enterococcus sp. FDAARGOS_553,21032,61,814
Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Enterococcaceae|Enterococcus|Enterococcus sp. M190262,13645,108,10036
Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Enterococcaceae|Enterococcus|Enterococcus sp. FDAARGOS_375,2274,94,99
Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Enterococcaceae|Enterococcus|Enterococcus sp. CR-Ec1,2256,15,55
Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Enterococcaceae|Enterococcus|Enterococcus sp. DA9,680,174,643
Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Enterococcaceae|Enterococcus|Enterococcus avium,103601,270754,417621
Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Enterococcaceae|Enterococcus|Enterococcus faecalis,72049,38872,417097
Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Enterococcaceae|Enterococcus|Enterococcus faecium,14071,241929,53167
Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Enterococcaceae|Enterococcus|Enterococcus gallinarum,13289,40,569
Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Enterococcaceae|Enterococcus|Enterococcus casseliflavus,5122,201,394
Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Enterococcaceae|Enterococcus|Enterococcus gilvus,2806,768,735
Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Enterococcaceae|Enterococcus|Enterococcus durans,2675,526,3588
Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Enterococcaceae|Enterococcus|Enterococcus thailandicus,2011,260,35
Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Enterococcaceae|Enterococcus|Enterococcus mundtii,1481,323,156
Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Enterococcaceae|Enterococcus|Enterococcus cecorum,1257,221,743
Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Enterococcaceae|Enterococcus|Enterococcus wangshanyuanii,1176,187,41
Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Enterococcaceae|Enterococcus|Enterococcus hirae,990,23859,25042
Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Enterococcaceae|Vagococcus,78,7,1
Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Enterococcaceae|Vagococcus|Vagococcus teuberi,2066,48,10
Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Enterococcaceae|Vagococcus|Vagococcus sp. MN-17,183,28,147
Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Enterococcaceae|Vagococcus|Vagococcus sp. CF-49,150,72,15
Bacteria|NA|Firmicutes|Bacilli|Lactobacillales|Enterococcaceae|Vagococcus|Vagococcus penaei,241,58,273
